Date,DayOfWeek,Month,Year,Is_Weekend,Is_Holiday,Product_ID,Category,Base_Price,Discount_Percentage,Current_Price,Store_ID,Store_Type,Competitor_Price,Footfall_Index,Avg_Temperature,Rainfall_mm,Social_Media_Sentiment,Lead_Time_Days,Safety_Stock_Level,Stock_On_Hand,Daily_Units_Sold
5/17/2023,2,5,2023,0,0,1017,Clothing,371.04,0.21,293.12,5,Urban,336.09,184.4,-3,2.8,0.25,3,36,194,88
11/14/2023,1,11,2023,0,1,1018,Beauty,216.03,0.38,133.94,12,Urban,196.18,85.8,30.3,12.5,0.65,6,77,187,117
6/14/2023,2,6,2023,0,0,1011,Grocery,170.18,0.02,166.78,3,Urban,174.01,79.9,28.6,4.3,0.55,1,114,46,93
8/13/2023,6,8,2023,1,0,1007,Grocery,161.65,0.06,151.95,16,Rural,171.55,124.4,8.8,6.1,0.08,8,185,361,120
11/3/2023,4,11,2023,0,0,1016,Beauty,388.13,0.1,349.32,6,Rural,383.3,185,19.7,2.7,0.53,12,16,496,112
8/22/2023,1,8,2023,0,0,1014,Grocery,30.78,0.2,24.62,15,Rural,31.12,98.4,14.6,1.3,0.79,5,183,358,148
6/21/2023,2,6,2023,0,0,1009,Beauty,11.35,0.42,6.58,15,Rural,12.03,147.8,33.7,6.4,0.08,8,112,24,148
6/1/2023,3,6,2023,0,0,1014,Grocery,398.79,0.17,331,16,Urban,407.6,156.2,33,4.7,0.89,10,121,65,105
11/11/2023,5,11,2023,1,0,1014,Clothing,241.19,0.33,161.6,20,Rural,227.91,166.8,34.4,3.5,0.58,4,155,486,145
6/9/2023,4,6,2023,0,0,1006,Grocery,69.79,0.35,45.36,13,Urban,71.37,134.6,29.7,4.9,0.95,4,175,334,153
