Date,DayOfWeek,Month,Year,Is_Weekend,Is_Holiday,Product_ID,Category,Base_Price,Discount_Percentage,Current_Price,Store_ID,Store_Type,Competitor_Price,Footfall_Index,Avg_Temperature,Rainfall_mm,Social_Media_Sentiment,Lead_Time_Days,Safety_Stock_Level,Stock_On_Hand,Daily_Units_Sold,Festival_Name,Festival_Type,UPC_EAN,Product_Name,Sub_Category,Brand_Name,Brand_Tier,Shelf_Life_Days,No_of_Checkout_Counters,Avg_Billing_Time_min,Local_Population_Density,Product_Age_Days,No_of_Customer_Purchases,Unit_Cost,Promotional_Campaign_Flag,Competitor_Promotion_Flag,Google_Trends_Current_Wk,Google_Trends_Lag_1w,Shelf_Capacity,Promotion_Type,Marketing_Spend,Payday_Flag,School_Vacation_Flag,Local_Event_Flag,Launch_Date,Seasonal_Product_Flag,Online_Sales_Units,In_Store_Sales_Units,App_Traffic_Index,Website_Visits,Backorder_Flag,Supplier_Delay_Days,Fill_Rate_Pct,Loyalty_Program_Usage_Count,Repeat_Purchase_Rate,Avg_Basket_Size
11/27/2023,0,11,2023,0,0,1015,Electronics,321.49,0.14,276.48,5,Urban,346.87,92.0,7.8,7.3,0.89,4,67,204,108,,,5094762337870,Sony Computers 1015,Computers,Sony,Mid,1196,11,6.6,5663,1759,55,272.84,N,Y,43,16,29,None,1015,0,0,0,02/02/2019,N,39,69,674,1620,N,2,87.32,26,0.32,1.96
03/29/2023,2,3,2023,0,1,1002,Grocery,172.31,0.4,103.39,2,Urban,187.08,157.2,-0.8,1.7,0.15,10,155,343,129,,,8148570840155,Nestle Beverages 1002,Beverages,Nestle,Premium,54,8,2.9,6891,228,42,92.18,Y,N,87,43,74,Seasonal Discount,5425,0,0,0,08/13/2022,Y,49,80,743,1888,N,2,88.51,14,0.16,3.07
04/10/2023,0,4,2023,0,0,1005,Grocery,453.9,0.4,272.34,20,Rural,497.1,133.3,23.7,0.1,0.64,2,115,301,97,,,9837527634092,Ashirvad Grains 1005,Grains,Ashirvad,Budget,18,3,5.5,1463,841,87,233.85,Y,Y,65,87,35,Flash Sale,3868,0,0,0,12/20/2020,N,19,78,536,1084,N,3,94.71,29,0.27,1.11
12/26/2023,1,12,2023,0,0,1013,Clothing,295.75,0.23,227.73,9,Rural,321.72,66.3,7.0,0.6,0.89,9,65,241,94,,,8974285838703,FabIndia Activewear 1013,Activewear,FabIndia,Budget,530,10,7.6,1191,905,48,158.95,Y,Y,46,65,47,Loyalty Only,3477,0,1,0,07/04/2021,N,10,84,474,843,N,0,91.17,10,0.18,1.96
06/01/2023,3,6,2023,0,0,1017,Home,47.27,0.3,33.09,9,Rural,45.11,189.8,1.7,10.5,0.91,14,131,319,204,,,5394891561256,Tupperware Bedding 1017,Bedding,Tupperware,Premium,2810,10,7.6,1191,86,117,40.05,Y,N,79,46,71,Loyalty Only,3689,1,1,0,03/07/2023,N,52,152,763,1969,N,3,87.65,60,0.31,1.74
05/11/2023,3,5,2023,0,0,1016,Beauty,227.65,0.3,159.35,4,Urban,228.1,117.8,0.9,9.1,0.79,4,112,414,129,,,9339246514525,L'oreal Haircare 1016,Haircare,L'oreal,Premium,399,12,2.5,10210,752,64,116.37,Y,N,53,79,68,Flash Sale,5654,0,1,0,04/19/2021,N,42,87,694,1700,N,0,90.56,33,0.34,2.02
05/30/2023,1,5,2023,0,1,1003,Home,379.4,0.41,223.85,15,Rural,354.77,160.2,7.6,1.7,0.18,4,132,278,98,,,779320874566,Tupperware Decor 1003,Decor,Tupperware,Premium,2178,13,3.1,1680,419,87,297.57,Y,N,14,53,81,Seasonal Discount,4259,0,1,0,04/06/2022,Y,38,60,667,1593,N,1,85.44,36,0.1,1.13
11/05/2023,6,11,2023,1,1,1014,Grocery,398.1,0.21,314.5,11,Urban,422.48,125.2,18.7,1.7,0.82,2,189,60,100,,,7766417546584,Nestle Grains 1014,Grains,Nestle,Budget,82,6,4.4,6438,1757,40,203.75,Y,Y,73,14,101,Flash Sale,4434,1,0,0,01/13/2019,N,33,67,633,1459,N,1,99.88,8,0.3,2.5
09/15/2023,4,9,2023,0,0,1010,Beauty,249.83,0.14,214.85,1,Urban,269.24,140.7,9.3,7.9,0.28,5,31,464,106,,,6217443083823,Lakme Fragrance 1010,Fragrance,Lakme,Budget,384,9,5.5,5995,732,56,126.66,N,N,25,73,109,None,838,0,0,0,09/13/2021,N,33,73,633,1459,N,3,94.12,27,0.1,1.89
12/10/2023,6,12,2023,1,1,1002,Home,447.9,0.13,389.67,18,Rural,479.37,95.4,-4.2,13.9,0.92,13,69,305,81,,,660993912552,Ikea Kitchenware 1002,Kitchenware,Ikea,Premium,2154,4,4.7,1754,534,73,268.01,N,N,19,25,26,None,700,0,1,0,06/24/2022,N,24,57,571,1218,N,2,85.21,42,0.26,1.11
10/21/2023,5,10,2023,1,0,1002,Home,137.5,0.27,100.38,1,Rural,135.67,80.1,-1.1,7.6,0.71,6,147,301,141,,,660993912552,Ikea Kitchenware 1002,Kitchenware,Ikea,Premium,2154,8,4.6,1920,534,93,79.61,Y,N,69,19,52,Loyalty Only,5175,0,0,0,05/05/2022,N,43,98,701,1727,N,2,86.49,33,0.33,1.52
07/11/2023,1,7,2023,0,0,1015,Beauty,208.25,0.22,162.44,8,Urban,219.02,131.4,6.6,4.7,0.79,10,93,471,128,,,1914986328580,Lakme Fragrance 1015,Fragrance,Lakme,Mid,702,3,7.5,7119,1988,69,111.33,Y,N,32,69,73,BOGO,2315,0,0,0,01/30/2018,N,46,82,722,1808,N,2,96.58,36,0.33,1.86
10/04/2023,2,10,2023,0,0,1004,Grocery,449.81,0.22,350.85,16,Urban,413.61,116.0,21.4,1.4,0.09,6,137,298,62,,,5127157404970,Nestle Grains 1004,Grains,Nestle,Premium,22,3,2.2,9314,1410,33,314.08,Y,N,92,32,53,Seasonal Discount,5070,1,0,0,11/24/2019,N,8,54,461,789,N,3,88.13,7,0.25,1.88
06/10/2023,5,6,2023,1,0,1009,Home,448.65,0.05,426.22,18,Urban,407.4,108.5,-1.1,3.7,0.58,3,89,393,82,,,7030810140677,Sleepwell Kitchenware 1009,Kitchenware,Sleepwell,Premium,1569,13,2.6,5779,943,69,230.98,N,Y,20,92,107,None,1080,0,1,0,11/09/2020,N,16,66,516,1003,N,0,85.74,33,0.14,1.19
11/10/2023,4,11,2023,0,0,1018,Beauty,344.43,0.36,220.44,9,Urban,361.87,150.9,17.4,1.3,0.82,12,143,94,104,Dhanteras,Wedding Season,3008669382416,Lakme Skincare 1018,Skincare,Lakme,Premium,564,3,6.8,6250,1738,103,289.93,Y,Y,91,20,86,Flash Sale,5309,0,0,0,02/06/2019,N,27,77,591,1298,N,0,86.24,35,0.37,1.01
01/22/2023,6,1,2023,1,0,1003,Grocery,430.2,0.11,382.88,12,Urban,423.78,153.6,-0.2,8.3,0.86,14,90,492,88,,,1131674445030,Nestle Dairy 1003,Dairy,Nestle,Mid,48,8,4.4,7650,45,50,306.63,N,Y,87,91,94,None,1219,0,0,0,12/08/2022,N,30,58,612,1379,N,3,96.4,16,0.21,1.76
09/10/2023,6,9,2023,1,0,1018,Beauty,48.94,0.1,44.05,19,Rural,53.79,56.9,3.5,2.4,0.03,9,15,147,122,,,3008669382416,Lakme Skincare 1018,Skincare,Lakme,Premium,564,11,2.9,1411,1738,69,27.13,Y,Y,61,87,110,Seasonal Discount,5308,0,0,0,12/07/2018,N,38,84,667,1593,N,2,91.52,34,0.19,1.77
08/24/2023,3,8,2023,0,0,1010,Beauty,433.17,0.21,342.2,18,Rural,398.28,100.8,1.9,9.0,0.94,7,95,399,72,,,6217443083823,Lakme Fragrance 1010,Fragrance,Lakme,Budget,384,4,4.7,1754,732,18,356.8,Y,Y,43,61,117,Seasonal Discount,5529,0,0,0,08/22/2021,N,28,44,598,1325,N,2,91.09,4,0.29,4.0
12/11/2023,0,12,2023,0,0,1001,Home,163.71,0.11,145.7,5,Rural,175.35,111.8,-2.3,2.4,0.04,13,91,461,104,,,7102851061712,Tupperware Bedding 1001,Bedding,Tupperware,Mid,2790,13,2.3,682,616,64,109.98,N,Y,94,43,102,None,1015,0,1,0,04/04/2022,N,13,91,495,923,N,0,99.9,16,0.29,1.62
02/18/2023,5,2,2023,1,0,1009,Grocery,93.27,0.29,66.22,2,Rural,92.9,64.5,21.9,8.7,0.61,14,165,258,116,,,6899637250727,Ashirvad Grains 1009,Grains,Ashirvad,Budget,34,8,6.7,1688,1508,116,46.84,Y,N,48,94,67,Flash Sale,2655,0,0,0,01/02/2019,N,41,75,688,1674,N,3,96.28,51,0.13,1.0
02/28/2023,1,2,2023,0,0,1010,Home,123.49,0.19,100.03,7,Urban,131.57,85.4,13.5,2.0,0.69,3,51,29,119,,,5360161709121,Ikea Kitchenware 1010,Kitchenware,Ikea,Mid,2038,8,7.3,11584,496,118,86.98,Y,Y,73,48,99,Loyalty Only,5268,1,0,0,10/20/2021,N,32,87,626,1432,Y,1,98.91,31,0.2,1.01
06/19/2023,0,6,2023,0,0,1019,Electronics,211.89,0.22,165.27,10,Rural,225.33,57.7,28.2,2.9,0.11,4,83,17,79,,,832733976485,Bose Computers 1019,Computers,Bose,Mid,1209,13,4.2,1104,1128,15,113.87,Y,Y,10,73,82,Seasonal Discount,4414,0,1,0,05/17/2020,N,9,70,467,816,Y,0,90.84,8,0.38,5.27
07/07/2023,4,7,2023,0,1,1015,Electronics,129.34,0.27,94.42,15,Urban,140.1,199.4,-1.0,4.8,0.05,7,50,186,142,,,5094762337870,Sony Computers 1015,Computers,Sony,Mid,1196,6,5.9,12371,1759,36,93.59,Y,N,38,10,84,Loyalty Only,4214,0,0,0,09/12/2018,N,28,114,598,1325,N,2,86.08,9,0.15,3.94
09/28/2023,3,9,2023,0,0,1018,Grocery,163.68,0.1,147.31,7,Urban,157.06,160.5,0.8,0.4,0.78,11,72,453,130,,,9284369426405,Amul Beverages 1018,Beverages,Amul,Mid,82,8,7.3,11584,653,115,115.45,N,Y,75,38,42,None,518,0,0,0,12/14/2021,Y,32,98,626,1432,N,2,97.95,30,0.19,1.13
07/09/2023,6,7,2023,1,0,1010,Beauty,71.81,0.08,66.07,5,Urban,78.27,63.1,7.3,14.8,0.38,8,31,211,131,,,6217443083823,Lakme Fragrance 1010,Fragrance,Lakme,Budget,384,11,6.6,5663,732,107,55.41,N,Y,62,75,94,None,1296,0,0,0,07/07/2021,N,48,83,736,1861,N,3,89.73,62,0.35,1.22
06/24/2023,5,6,2023,1,0,1013,Home,151.61,0.44,84.9,15,Urban,141.05,53.0,25.6,4.3,0.11,6,88,34,109,,,8394125838184,Sleepwell Furniture 1013,Furniture,Sleepwell,Mid,2850,6,5.9,12371,767,88,96.21,Y,Y,68,62,100,BOGO,3882,0,1,0,05/18/2021,N,25,84,577,1245,Y,2,93.98,45,0.18,1.24
02/20/2023,0,2,2023,0,0,1001,Home,288.28,0.22,224.86,20,Rural,264.18,157.9,7.2,3.5,0.76,4,166,146,124,,,7102851061712,Tupperware Bedding 1001,Bedding,Tupperware,Mid,2790,3,5.5,1463,616,46,198.92,Y,N,39,68,50,Seasonal Discount,3864,0,0,0,06/14/2021,N,39,85,674,1620,N,2,90.27,14,0.29,2.7
12/30/2023,5,12,2023,1,0,1004,Grocery,223.72,0.21,176.74,20,Rural,220.66,115.9,11.3,9.1,0.85,12,80,281,122,,,5127157404970,Nestle Grains 1004,Grains,Nestle,Premium,22,3,5.5,1463,1410,54,132.22,Y,Y,34,39,95,Loyalty Only,3537,0,1,0,02/19/2020,N,16,106,516,1003,N,0,85.33,21,0.11,2.26
02/24/2023,4,2,2023,0,0,1004,Grocery,176.63,0.02,173.1,15,Urban,188.23,168.0,7.1,10.0,0.59,2,123,34,123,,,5127157404970,Nestle Grains 1004,Grains,Nestle,Premium,22,6,5.9,12371,1410,31,140.47,N,N,54,34,110,None,904,0,0,0,04/16/2019,N,15,108,509,977,Y,0,87.22,12,0.21,3.97
09/01/2023,4,9,2023,0,0,1018,Electronics,374.49,0.25,280.87,10,Rural,372.5,188.5,-1.8,3.7,0.16,10,43,75,106,,,2386552824760,Samsung Computers 1018,Computers,Samsung,Budget,1112,13,4.2,1104,1731,66,253.34,Y,N,62,54,56,Seasonal Discount,1714,1,0,0,12/05/2018,N,24,82,571,1218,N,2,90.06,25,0.12,1.61
11/16/2023,3,11,2023,0,1,1011,Clothing,447.29,0.28,322.05,14,Urban,476.75,139.9,32.6,13.1,0.02,8,105,71,79,,,9350894528554,Allen Solly Ethnic wear 1011,Ethnic wear,Allen Solly,Mid,1141,5,2.1,7326,794,75,366.65,Y,Y,42,62,100,Flash Sale,4498,0,0,0,09/13/2021,Y,22,57,557,1164,N,2,94.67,24,0.33,1.05
05/11/2023,3,5,2023,0,0,1017,Grocery,379.61,0.28,273.32,10,Rural,397.05,78.1,16.9,0.3,0.7,1,139,248,58,,,6864448578923,Nestle Spices 1017,Spices,Nestle,Mid,79,13,4.2,1104,1648,49,315.7,Y,Y,53,42,112,Flash Sale,4736,0,1,0,11/05/2018,N,12,46,488,896,N,1,87.53,15,0.39,1.18
11/03/2023,4,11,2023,0,0,1003,Clothing,169.34,0.35,110.07,17,Urban,159.5,167.3,26.5,0.6,0.55,9,163,56,139,,,742708927336,Allen Solly Activewear 1003,Activewear,Allen Solly,Mid,581,11,7.4,9278,1772,36,105.72,Y,N,21,53,31,Loyalty Only,4539,1,0,0,12/27/2018,N,50,89,749,1915,Y,3,94.66,18,0.17,3.86
05/15/2023,0,5,2023,0,0,1016,Grocery,373.5,0.09,339.88,14,Urban,407.03,193.4,21.3,4.5,0.65,8,118,356,109,,,8572879201082,Tata Spices 1016,Spices,Tata,Premium,10,5,2.1,7326,1127,80,259.92,N,N,73,21,91,None,741,0,1,0,04/13/2020,N,37,72,660,1566,N,3,93.5,41,0.36,1.36
01/21/2023,5,1,2023,1,0,1009,Beauty,80.23,0.13,69.8,2,Urban,73.18,137.0,15.6,2.2,0.81,3,84,304,141,,,7654427826707,Lakme Makeup 1009,Makeup,Lakme,Budget,567,8,2.9,6891,1014,135,41.99,N,Y,58,73,52,None,678,0,0,0,04/12/2020,N,24,117,571,1218,N,0,92.97,55,0.36,1.04
11/25/2023,5,11,2023,1,0,1019,Beauty,69.51,0.41,41.01,16,Rural,75.05,152.3,-1.4,3.1,0.43,10,28,9,159,,,664887643364,L'oreal Haircare 1019,Haircare,L'oreal,Mid,485,9,2.8,1951,31,81,53.15,Y,N,93,58,97,Flash Sale,5391,0,0,0,10/25/2023,N,34,125,639,1486,Y,3,89.78,38,0.16,1.96
06/16/2023,4,6,2023,0,0,1005,Electronics,176.09,0.47,93.33,13,Urban,169.2,100.6,20.7,2.0,0.12,4,134,212,117,,,435507398804,Sony Audio 1005,Audio,Sony,Budget,1593,7,3.2,14233,1969,85,141.58,Y,N,17,93,39,Loyalty Only,4664,0,1,1,01/24/2018,N,29,88,605,1352,N,2,94.47,38,0.35,1.38
10/01/2023,6,10,2023,1,1,1013,Electronics,404.81,0.07,376.47,9,Rural,404.82,107.2,1.2,2.6,0.94,10,29,496,76,,,2336836726970,Samsung Computers 1013,Computers,Samsung,Premium,1082,10,7.6,1191,305,60,328.45,Y,Y,80,17,61,BOGO,4886,1,0,0,11/30/2022,N,19,57,536,1084,N,5,96.94,16,0.16,1.27
03/30/2023,3,3,2023,0,0,1010,Clothing,126.94,0.25,95.2,7,Urban,124.97,160.2,11.6,8.6,0.55,4,170,360,145,,,9907038161151,Zara Activewear 1010,Activewear,Zara,Premium,611,8,7.3,11584,300,40,82.38,Y,N,31,80,91,BOGO,5262,0,0,0,06/03/2022,N,21,124,550,1137,N,3,89.7,16,0.16,3.62
11/12/2023,6,11,2023,1,0,1010,Grocery,36.31,0.11,32.32,16,Rural,33.93,189.2,20.2,4.5,0.62,2,125,236,164,Diwali,Mega Festive,9334869047916,Amul Dairy 1010,Dairy,Amul,Mid,31,9,2.8,1951,147,142,21.8,N,N,37,31,72,None,6786,0,0,0,06/18/2023,N,39,125,674,1620,N,2,98.18,42,0.32,1.15
01/14/2023,5,1,2023,1,0,1017,Home,70.2,0.03,68.09,10,Rural,68.21,144.3,26.3,29.7,0.93,12,103,233,156,,,5394891561256,Tupperware Bedding 1017,Bedding,Tupperware,Premium,2810,13,4.2,1104,86,129,41.22,N,Y,48,37,96,None,1963,0,0,0,10/20/2022,N,23,133,564,1191,N,3,89.73,58,0.38,1.21
08/30/2023,2,8,2023,0,0,1017,Electronics,430.08,0.16,361.27,9,Urban,403.67,168.5,22.4,7.7,0.93,11,91,412,94,,,3271555125378,Samsung Computers 1017,Computers,Samsung,Budget,1582,3,6.8,6250,964,48,317.5,Y,Y,40,48,103,BOGO,3947,0,0,0,01/08/2021,N,11,83,481,869,N,4,85.34,14,0.38,1.96
09/22/2023,4,9,2023,0,0,1010,Home,318.72,0.07,296.41,7,Urban,299.84,75.7,21.9,1.6,0.57,10,105,222,80,,,5360161709121,Ikea Kitchenware 1010,Kitchenware,Ikea,Mid,2038,8,7.3,11584,496,41,237.16,N,Y,77,40,99,None,756,0,0,0,05/14/2022,N,25,55,577,1245,N,3,90.6,13,0.24,1.95
12/12/2023,1,12,2023,0,0,1011,Home,130.33,0.35,84.71,16,Rural,122.17,81.8,1.0,1.5,0.3,5,113,103,127,,,241095574500,Philips Kitchenware 1011,Kitchenware,Philips,Premium,1911,9,2.8,1951,1530,58,66.82,Y,Y,93,77,106,BOGO,4789,0,1,0,10/04/2019,N,27,100,591,1298,N,3,89.44,17,0.32,2.19
02/22/2023,2,2,2023,0,0,1004,Grocery,279.87,0.27,204.31,9,Rural,279.26,129.8,8.8,2.0,1.0,13,13,326,113,,,5127157404970,Nestle Grains 1004,Grains,Nestle,Premium,22,10,7.6,1191,1410,109,154.56,Y,N,48,93,91,Flash Sale,5996,0,0,0,04/14/2019,N,11,102,481,869,N,0,89.16,27,0.17,1.04
12/06/2023,2,12,2023,0,0,1008,Clothing,266.15,0.07,247.52,17,Rural,282.01,76.5,-3.3,9.3,0.68,12,169,97,96,,,3749811340871,FabIndia Winter wear 1008,Winter wear,FabIndia,Premium,781,4,2.6,1279,1587,70,177.42,N,N,44,48,84,None,1470,0,1,0,08/02/2019,Y,36,60,653,1540,N,3,97.96,22,0.19,1.37
04/02/2023,6,4,2023,1,1,1008,Grocery,329.44,0.0,329.44,20,Urban,333.98,145.2,23.8,0.1,0.41,3,156,225,87,,,8274135829664,Ashirvad Spices 1008,Spices,Ashirvad,Budget,52,9,5.7,8788,987,69,203.07,N,Y,10,44,31,None,907,1,0,0,07/19/2020,N,10,77,474,843,N,3,97.68,29,0.39,1.26
09/21/2023,3,9,2023,0,0,1009,Electronics,120.43,0.4,72.26,7,Urban,129.9,93.7,33.1,1.3,0.56,12,140,221,121,,,6904971737690,Bose Audio 1009,Audio,Bose,Budget,1682,8,7.3,11584,813,102,101.53,Y,Y,29,10,105,Seasonal Discount,4788,0,0,0,06/30/2021,N,18,103,529,1057,N,1,92.65,51,0.17,1.19
02/04/2023,5,2,2023,1,1,1018,Home,432.88,0.09,393.92,11,Rural,444.7,168.7,5.6,11.8,0.42,11,101,323,81,,,178029681125,Ikea Furniture 1018,Furniture,Ikea,Premium,2770,5,3.3,1637,947,31,356.6,N,Y,22,29,39,None,1007,1,0,0,07/02/2020,N,20,61,543,1111,N,2,90.81,13,0.16,2.61
07/25/2023,1,7,2023,0,0,1000,Grocery,158.14,0.3,110.7,8,Urban,164.13,171.2,-1.5,5.1,0.89,1,70,488,130,,,6817973669476,Amul Spices 1000,Spices,Amul,Budget,63,3,7.5,7119,1680,122,133.02,Y,Y,76,22,48,Seasonal Discount,4297,0,0,0,12/18/2018,N,23,107,564,1191,N,1,91.78,64,0.3,1.07
03/22/2023,2,3,2023,0,0,1006,Grocery,348.6,0.17,289.34,7,Urban,360.29,119.6,14.0,1.3,0.48,2,47,477,92,,,9655593773495,Ashirvad Spices 1006,Spices,Ashirvad,Budget,77,8,7.3,11584,268,37,182.27,Y,Y,34,76,80,Loyalty Only,1692,0,0,0,06/27/2022,N,32,60,626,1432,N,2,92.57,14,0.2,2.49
02/19/2023,6,2,2023,1,0,1003,Grocery,12.98,0.29,9.22,19,Urban,12.85,77.1,29.3,1.2,0.82,11,127,472,145,,,1131674445030,Nestle Dairy 1003,Dairy,Nestle,Mid,48,15,3.6,7003,45,84,10.15,Y,N,63,34,29,Loyalty Only,2605,0,0,0,01/05/2023,N,27,118,591,1298,N,3,98.51,35,0.14,1.73
12/26/2023,1,12,2023,0,0,1000,Electronics,189.47,0.16,159.15,20,Rural,196.64,147.0,17.1,9.9,0.84,12,143,333,130,,,8427460612484,Sony Computers 1000,Computers,Sony,Mid,1882,3,5.5,1463,801,55,148.85,Y,Y,74,63,119,BOGO,2077,0,1,0,10/16/2021,N,47,83,729,1835,N,6,97.51,16,0.38,2.36
01/02/2023,0,1,2023,0,0,1014,Clothing,179.1,0.04,171.94,12,Rural,163.69,198.9,-3.1,11.2,0.82,7,65,279,157,,,2238210451428,FabIndia Winter wear 1014,Winter wear,FabIndia,Mid,1071,5,7.8,1981,1239,66,92.49,N,N,83,74,84,None,1213,1,0,0,08/12/2019,Y,38,119,667,1593,N,1,90.7,20,0.36,2.38
02/23/2023,3,2,2023,0,0,1007,Grocery,274.02,0.11,243.88,7,Urban,293.74,143.4,34.0,1.5,0.72,1,177,42,125,,,6534724436439,Tata Spices 1007,Spices,Tata,Mid,6,8,7.3,11584,1896,33,152.19,N,Y,44,83,98,None,1353,0,0,0,12/15/2017,N,13,112,495,923,Y,1,88.17,15,0.17,3.79
04/16/2023,6,4,2023,1,0,1011,Electronics,41.0,0.09,37.31,8,Urban,43.28,55.4,28.1,2.7,0.85,12,130,350,144,,,4385547629763,Samsung Computers 1011,Computers,Samsung,Mid,1224,3,7.5,7119,1637,68,27.4,N,Y,74,44,66,None,536,0,0,0,10/22/2018,N,33,111,633,1459,N,0,91.69,21,0.16,2.12
09/17/2023,6,9,2023,1,0,1017,Home,396.12,0.21,312.93,7,Urban,375.94,52.6,0.3,9.0,0.39,13,90,381,63,,,5394891561256,Tupperware Bedding 1017,Bedding,Tupperware,Premium,2810,8,7.3,11584,86,17,214.94,Y,Y,44,74,84,Loyalty Only,3232,0,0,0,06/23/2023,N,7,56,454,762,N,2,91.6,7,0.33,3.71
11/06/2023,0,11,2023,0,0,1014,Beauty,112.8,0.33,75.58,6,Urban,118.85,98.1,31.9,7.4,0.11,13,115,422,113,,,7639209561846,Lakme Makeup 1014,Makeup,Lakme,Premium,522,7,3.6,6002,1922,41,82.69,Y,Y,57,44,99,Flash Sale,4782,0,0,0,08/02/2018,N,23,90,564,1191,N,0,94.87,18,0.22,2.76
07/10/2023,0,7,2023,0,0,1016,Electronics,340.13,0.13,295.91,9,Urban,306.98,79.4,13.0,8.4,0.84,2,129,347,71,,,2275932199366,Samsung Mobiles 1016,Mobiles,Samsung,Premium,1143,3,6.8,6250,102,55,254.79,N,N,31,57,96,None,1734,0,0,0,03/30/2023,N,26,45,584,1272,N,0,95.24,21,0.34,1.29
